id,title,date,authors,abstract
13,"Residency Training: Determinants of burnout of neurology trainees in Attica, Greece.",2015-12-16,"Panagiotis Zis, Artemios K Artemiadis, Maria Lykouri, Sophia Xirou, Andromachi Roussopoulou, Ermioni Papageorgiou, Eleni Bakola, Fotios Anagnostopoulos","The purpose of our cross-sectional study was to estimate the rate of burnout and identify its determinants among neurology residents in Attica, Greece. In total, 131 placements for neurology training over 18 hospitals were available. All residents were approached and were asked to participate in the study by anonymously completing a questionnaire. Job demands and resources (JD-R) were examined via a 31-item questionnaire assessing 8 factors based on the JD-R model. Burnout was measured with the Maslach Burnout Inventory (MBI). The emotional exhaustion + 1 criterion was used to distinguish respondents with and without burnout. A total of 116 residents participated in the study (response rate 88.5%). In total, 18.1% of the participants were experiencing burnout. Multivariate analysis showed that each increased point in the total score of the factor regarding opportunities for professional development was associated with lowering the odds of burnout by 28.7%. Burnout among neurology residents is associated with decreased professional development. Educators and program directors need to identify those residents at high risk of burnout and design interventions to promote residents' resilience and mental health."
14,Teleneurology applications: Report of the Telemedicine Work Group of the American Academy of Neurology.,2013-04-08,"Lawrence R Wechsler, Jack W Tsao, Steven R Levine, Rebecca J Swain-Eng, Robert J Adams, Bart M Demaerschalk, David C Hess, Elena Moro, Lee H Schwamm, Steve Steffensen, Barney J Stern, Steven J Zuckerman, Pratik Bhattacharya, Larry E Davis, Ilana R Yurkiewicz, Aimee L Alphonso","To review current literature on neurology telemedicine and to discuss its application to patient care, neurology practice, military medicine, and current federal policy. Review of practice models and published literature on primary studies of the efficacy of neurology telemedicine. Teleneurology is of greatest benefit to populations with restricted access to general and subspecialty neurologic care in rural areas, those with limited mobility, and those deployed by the military. Through the use of real-time audio-visual interaction, imaging, and store-and-forward systems, a greater proportion of neurologists are able to meet the demand for specialty care in underserved communities, decrease the response time for acute stroke assessment, and expand the collaboration between primary care physicians, neurologists, and other disciplines. The American Stroke Association has developed a defined policy on teleneurology, and the American Academy of Neurology and federal health care policy are beginning to follow suit. Teleneurology is an effective tool for the rapid evaluation of patients in remote locations requiring neurologic care. These underserved locations include geographically isolated rural areas as well as urban cores with insufficient available neurology specialists. With this technology, neurologists will be better able to meet the burgeoning demand for access to neurologic care in an era of declining availability. An increase in physician awareness and support at the federal and state level is necessary to facilitate expansion of telemedicine into further areas of neurology."
15,Education research: a case-based bioethics curriculum for neurology residents.,2015-06-18,"Benjamin Tolchin, Joshua Z Willey, Kenneth Prager","In 2012, the American Academy of Neurology (AAN) updated and expanded its ethics curriculum into Practical Ethics in Clinical Neurology, a case-based ethics curriculum for neurologists. We piloted a case-based bioethics curriculum for neurology residents using the framework and topics recommended by the AAN, matched to clinical cases drawn from Columbia's neurologic services. Our primary outcome was residents' ability to analyze and manage ethically complex cases as measured on precurriculum and postcurriculum multiple-choice quizzes. Secondary outcomes included precurriculum and postcurriculum self-assessed comfort in discussing and managing ethically complex cases, as well as attendance at ethics discussion sessions as compared to attendance at other didactic sessions. Resident performance on quizzes improved from 75.8% to 86.7% (p = 0.02). Comfort in discussing ethically complex cases improved from 6.4 to 7.4 on a 10-point scale (p = 0.03). Comfort in managing such cases trended toward improvement but did not reach statistical significance. Attendance was significantly better at ethics discussions (73.5%) than at other didactic sessions (61.7%, p = 0.04). Our formal case-based ethics curriculum for neurology residents, based on core topics drawn from the AAN's published curricula, was successfully piloted. Our study showed a statistically significant improvement in residents' ability to analyze and manage ethically complex cases as measured by multiple-choice tests and self-assessments."
16,Formal faculty observation and assessment of bedside skills for 3rd-year neurology clerks.,2016-10-21,"Robert Thompson Stone, Christopher Mooney, Erika Wexler, Jonathan Mink, Jennifer Post, Ralph F Jozefowicz","To evaluate the feasibility and utility of instituting a formalized bedside skills evaluation (BSE) for 3rd-year medical students on the neurology clerkship. -year neurology clerks at the University of Rochester for the 2012-2014 academic years. Faculty directly observed 189 students completing a full history and neurologic examination on real inpatients. Mock grades were calculated utilizing the BSE in the final grade, and number of students with a grade difference was determined when compared to true grade. Correlation was explored between the BSE and clinical scores, National Board of Medical Examiners (NBME) scores, case complexity, and true final grades. A survey was administered to students to assess their clinical skills exposure and the usefulness of the BSE. 2,186 = 31.9, p < 0.0001). There was no statistical difference between BSE score and differing case complexities. Incorporating a formal faculty-observed BSE into the 3rd year neurology clerkship was feasible. Low correlation between BSE score and other evaluations indicated a unique measurement to contribute to student grade. Using real patients with differing case complexity did not alter the grade."
17,Neurology objective structured clinical examination reliability using generalizability theory.,2015-10-02,"Angela D Blood, Yoon Soo Park, Rimas V Lukas, James R Brorson","This study examines factors affecting reliability, or consistency of assessment scores, from an objective structured clinical examination (OSCE) in neurology through generalizability theory (G theory). Data include assessments from a multistation OSCE taken by 194 medical students at the completion of a neurology clerkship. Facets evaluated in this study include cases, domains, and items. Domains refer to areas of skill (or constructs) that the OSCE measures. G theory is used to estimate variance components associated with each facet, derive reliability, and project the number of cases required to obtain a reliable (consistent, precise) score. Reliability using G theory is moderate (Φ coefficient = 0.61, G coefficient = 0.64). Performance is similar across cases but differs by the particular domain, such that the majority of variance is attributed to the domain. Projections in reliability estimates reveal that students need to participate in 3 OSCE cases in order to increase reliability beyond the 0.70 threshold. This novel use of G theory in evaluating an OSCE in neurology provides meaningful measurement characteristics of the assessment. Differing from prior work in other medical specialties, the cases students were randomly assigned did not influence their OSCE score; rather, scores varied in expected fashion by domain assessed."
18,Education research: neurology training reassessed. The 2011 American Academy of Neurology Resident Survey results.,2013-01-15,"Nicholas E Johnson, Matthew B Maas, Mary Coleman, Ralph Jozefowicz, John Engstrom","To assess the strengths and weaknesses of neurology resident education using survey methodology. A 27-question survey was sent to all neurology residents completing residency training in the United States in 2011. Of eligible respondents, 49.8% of residents returned the survey. Most residents believed previously instituted duty hour restrictions had a positive impact on resident quality of life without impacting patient care. Most residents rated their faculty and clinical didactics favorably. However, many residents reported suboptimal preparation in basic neuroscience and practice management issues. Most residents (71%) noted that the Residency In-service Training Examination (RITE) assisted in self-study. A minority of residents (14%) reported that the RITE scores were used for reasons other than self-study. The vast majority (86%) of residents will enter fellowship training following residency and were satisfied with the fellowship offers they received. Graduating residents had largely favorable neurology training experiences. Several common deficiencies include education in basic neuroscience and clinical practice management. Importantly, prior changes to duty hours did not negatively affect the resident perception of neurology residency training."
19,Improving clinical cognitive testing: report of the AAN Behavioral Neurology Section Workgroup.,2015-07-10,"Kirk R Daffner, Seth A Gale, A M Barrett, Bradley F Boeve, Anjan Chatterjee, H Branch Coslett, Mark D'Esposito, Glen R Finney, Darren R Gitelman, John J Hart Jr, Alan J Lerner, Kimford J Meador, Alison C Pietras, Kytja S Voeller, Daniel I Kaufer","To evaluate the evidence basis of single-domain cognitive tests frequently used by behavioral neurologists in an effort to improve the quality of clinical cognitive assessment. Behavioral Neurology Section members of the American Academy of Neurology were surveyed about how they conduct clinical cognitive testing, with a particular focus on the Neurobehavioral Status Exam (NBSE). In contrast to general screening cognitive tests, an NBSE consists of tests of individual cognitive domains (e.g., memory or language) that provide a more comprehensive diagnostic assessment. Workgroups for each of 5 cognitive domains (attention, executive function, memory, language, and spatial cognition) conducted evidence-based reviews of frequently used tests. Reviews focused on suitability for office-based clinical practice, including test administration time, accessibility of normative data, disease populations studied, and availability in the public domain. Demographic and clinical practice data were obtained from 200 respondents who reported using a wide range of cognitive tests. Based on survey data and ancillary information, between 5 and 15 tests in each cognitive domain were reviewed. Within each domain, several tests are highlighted as being well-suited for an NBSE. We identified frequently used single-domain cognitive tests that are suitable for an NBSE to help make informed choices about clinical cognitive assessment. Some frequently used tests have limited normative data or have not been well-studied in common neurologic disorders. Utilizing standardized cognitive tests, particularly those with normative data based on the individual's age and educational level, can enhance the rigor and utility of clinical cognitive assessment."
20,Residency Training: Work engagement during neurology training.,2017-05-31,"Panagiotis Zis, Fotios Anagnostopoulos, Artemios K Artemiadis","Work engagement, defined as a positive, fulfilling, work-related state of mind that is characterized by vigor, dedication, and absorption, can ameliorate patient care and reduce medical errors. The purpose of this cross-sectional study was to investigate work engagement among neurology residents in the region of Attica, Greece. In total, 113 residents participated in this study. Demographic and work-related characteristics, as well as emotional exhaustion and personality traits (neuroticism), were examined via an anonymous questionnaire. Work engagement was measured by the Utrecht Work Engagement Scale. The study sample had a mean age of 34.6 ± 3.6 years, ranging from 26 to 45 years. Sixty-two (54.9%) participants were women and 45 (39.8%) were married. After adjusting for sex, emotional exhaustion, and neuroticism, the main factors associated with work engagement were autonomy and chances for professional development. Providing more chances for trainees' professional development as well as allowing for and supporting greater job autonomy may improve work engagement during neurology training."
21,Palliative care and neurology: time for a paradigm shift.,2014-07-02,"Isabel Boersma, Janis Miyasaki, Jean Kutner, Benzi Kluger","Palliative care is an approach to the care of patients and families facing progressive and chronic illnesses that focuses on the relief of suffering due to physical symptoms, psychosocial issues, and spiritual distress. As neurologists care for patients with chronic, progressive, life-limiting, and disabling conditions, it is important that they understand and learn to apply the principles of palliative medicine. In this article, we aim to provide a practical starting point in palliative medicine for neurologists by answering the following questions: (1) What is palliative care and what is hospice care? (2) What are the palliative care needs of neurology patients? (3) Do neurology patients have unique palliative care needs? and (4) How can palliative care be integrated into neurology practice? We cover several fundamental palliative care skills relevant to neurologists, including communication of bad news, symptom assessment and management, advance care planning, caregiver assessment, and appropriate referral to hospice and other palliative care services. We conclude by suggesting areas for future educational efforts and research. "
22,Teaching neurology to medical students with a simplified version of team-based learning.,2017-07-12,"Jochen Brich, Meike Jost, Peter Brüstle, Marianne Giesler, Michel Rijntjes","To compare the effect of a simplified version of team-based learning (sTBL), an active learning/small group instructional strategy, with that of the traditionally used small group interactive seminars on the acquisition of knowledge and clinical reasoning (CR) skills. Third- and fourth-year medical students (n = 122) were randomly distributed into 2 groups. A crossover design was used in which 2 neurologic topics were taught by sTBL and 2 by small group interactive seminars. Knowledge was assessed with a multiple-choice question examination (MCQE), CR skills with a key feature problem examination (KFPE). Questionnaires were used for further methodologic evaluation. p = 0.008), with no differences in the other 3 topics covered. Although both teaching methods were highly rated by the students, a clear majority voted for sTBL as their preferred future teaching method. sTBL served as an equivalent alternative to small group interactive seminars for imparting knowledge and teaching CR skills, and was particularly advantageous for teaching CR in the setting of a complex neurologic topic. Furthermore, students reported a strong preference for the sTBL approach, making it a promising tool for effectively teaching neurology."
23,Neurocritical care education during neurology residency: AAN survey of US program directors.,2012-05-09,"K N Sheth, O Drogan, E Manno, R G Geocadin, W Ziai","Limited information is available regarding the current state of neurocritical care education for neurology residents. The goal of our survey was to assess the need and current state of neurocritical care training for neurology residents. A survey instrument was developed and, with the support of the American Academy of Neurology, distributed to residency program directors of 132 accredited neurology programs in the United States in 2011. A response rate of 74% (98 of 132) was achieved. A dedicated neuroscience intensive care unit (neuro-ICU) existed in 64%. Fifty-six percent of residency programs offer a dedicated rotation in the neuro-ICU, lasting 4 weeks on average. Where available, the neuro-ICU rotation was required in the vast majority (91%) of programs. Neurology residents' exposure to the fundamental principles of neurocritical care was obtained through a variety of mechanisms. Of program directors, 37% indicated that residents would be interested in performing away rotations in a neuro-ICU. From 2005 to 2010, the number of programs sending at least one resident into a neuro-ICU fellowship increased from 14% to 35%. Despite the expansion of neurocritical care, large proportions of US neurology residents have limited exposure to a neuro-ICU and neurointensivists. Formal training in the principles of neurocritical care may be highly variable. The results of this survey suggest a charge to address the variability of resident education and to develop standardized curricula in neurocritical care for neurology residents."
24,The Workforce Task Force report: clinical implications for neurology.,2013-06-19,"William D Freeman, Kenneth A Vatz, Robert C Griggs, Timothy Pedley","The American Academy of Neurology Workforce Task Force (WFTF) report predicts a future shortfall of neurologists in the United States. The WFTF data also suggest that for most states, the current demand for neurologist services already exceeds the supply, and by 2025 the demand for neurologists will be even higher. This future demand is fueled by the aging of the US population, the higher health care utilization rates of neurologic services, and by a greater number of patients gaining access to the health care system due to the Patient Protection and Affordable Care Act. Uncertainties in health care delivery and patient access exist due to looming concerns about further Medicare reimbursement cuts. This uncertainty is set against a backdrop of Congressional volatility on a variety of issues, including the repeal of the sustainable growth rate for physician reimbursement. The impact of these US health care changes on the neurology workforce, future increasing demands, reimbursement, and alternative health care delivery models including accountable care organizations, nonphysician providers such as nurse practitioners and physician assistants, and teleneurology for both stroke and general neurology are discussed. The data lead to the conclusion that neurologists will need to play an even larger role in caring for the aging US population by 2025. We propose solutions to increase the availability of neurologic services in the future and provide other ways of meeting the anticipated increased demand for neurologic care. "
